description powerLevel age speed mallice intelligence
Vegeta 70 37 5 7 50
Trunks 75 25 3 1 80
Goku 80 32 7 0 20
Gohan 99 11 8 2 70
ChiChi 10 32 1 2 75
Cell 90 3 6 10 75
Piccolo 50 15 3 3 80
Bulma 1 32 1 2 90
Tien 40 37 5 2 56
Freeza 60 6 6 10 78
Kuririn 40 34 5 0 70
Android20 64 78 7 8 90  
Android19 76 12 5 9 46
Android18 85 21 8 8 70
Android17 85 20 8 8 70
Android16 75 34 5 4 56
Yamcha 60 18 3 1 66
TaoPaiPai 50 50 1 2 78
DrBrief 1 62 1 0 99
Janemba 44 34 1 2 64
Puar 78 37 2 1 86
MasterRoshi 67 67 8 0 57
Oolong 34 2 1 0 23
MrSatan 12 59 3 2 35
CapGinyu 45 62 5 7 74
KingCold 65 56 1 3 45
Recoome 37 89 1 9 30
Burter 56 45 5 9 25
Jeice 43 23 3 7 43
Guldo 23 67 2 9 10
Zarbon 29 38 5 9 59
Dodoria 67 23 4 7 79
Nappa 45 37 6 9 40
Videl 10 12 2 0 78
Kame 51 13 5 4 89
Yajirobe 35 33 1 1 20
CellJr 56 1 4 9 40
Dende 78 16 4 0 92
Nail 48 27 3 4 87
